Arthur GOTFREY POSITION,Arthur GOTFREY LAP TIME,Arthur GOTFREY ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
3,17.08,17.08,4,17.10,17.10,1,16.97,16.97,2,17.04,17.04
4,11.93,29.01,3,11.79,28.89,1,11.82,28.79,2,11.80,28.84
4,10.87,39.88,3,10.88,39.77,1,10.84,39.63,2,10.83,39.67
3,10.71,50.59,4,10.88,50.65,1,10.78,50.41,2,10.83,50.50
4,10.42,1:01.01,3,10.29,1:00.94,1,10.40,1:00.81,2,10.39,1:00.89
4,9.81,1:10.82,3,9.74,1:10.68,1,9.67,1:10.48,2,9.70,1:10.59
4,9.50,1:20.32,3,9.54,1:20.22,1,9.55,1:20.03,2,9.54,1:20.13
4,9.67,1:29.99,3,9.67,1:29.89,1,9.73,1:29.76,2,9.64,1:29.77
0,,PHOTO,1,10.19,1:40.08,0,,PHOTO,2,10.40,1:40.17
