Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
2,9.23,9.23,4,9.47,9.47,1,9.14,9.14,3,9.32,9.32,5,9.51,9.51
2,15.13,24.36,4,15.10,24.57,1,15.09,24.23,3,15.18,24.50,5,15.26,24.77
2,14.99,39.35,4,15.02,39.59,1,14.98,39.21,3,14.99,39.49,5,14.98,39.75
3,13.89,53.24,5,13.82,53.41,2,13.87,53.08,4,13.86,53.35,1,13.16,52.91
4,11.39,1:04.63,3,11.03,1:04.44,2,11.30,1:04.38,5,11.35,1:04.70,1,11.44,1:04.35
4,10.62,1:15.25,3,10.70,1:15.14,2,10.69,1:15.07,5,10.63,1:15.33,1,10.59,1:14.94
4,10.87,1:26.12,3,10.87,1:26.01,1,10.75,1:25.82,5,10.89,1:26.22,2,10.98,1:25.92
4,11.02,1:37.14,3,11.04,1:37.05,2,11.12,1:36.94,5,11.01,1:37.23,1,10.86,1:36.78
4,10.02,1:47.16,3,10.10,1:47.15,1,9.91,1:46.85,5,10.01,1:47.24,2,10.24,1:47.02
2,9.33,1:56.49,5,9.61,1:56.76,1,9.60,1:56.45,4,9.40,1:56.64,3,9.59,1:56.61
1,9.23,2:05.72,5,9.80,2:06.56,3,9.60,2:06.05,2,9.22,2:05.86,4,9.61,2:06.22
1,9.43,2:15.15,5,10.09,2:16.65,3,9.61,2:15.66,2,9.37,2:15.23,4,9.76,2:15.98
1,9.68,2:24.83,5,10.59,2:27.24,3,9.91,2:25.57,2,9.71,2:24.94,4,10.04,2:26.02
1,9.88,2:34.704,5,11.18,2:38.420,3,10.37,2:35.935,2,9.90,2:34.839,4,10.57,2:36.581
