Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME
1,12.17,12.17,2,12.26,12.26,4,12.50,12.50,3,12.41,,5,12.57,12.57
1,9.46,21.63,2,9.48,21.74,4,9.48,21.98,3,9.46,,5,9.47,22.04
1,9.19,30.82,5,9.60,31.34,3,9.14,31.12,2,9.16,,4,9.14,31.18
1,9.22,40.04,5,9.06,40.40,3,9.09,40.21,2,9.09,,4,9.16,40.34
1,9.18,49.22,5,9.28,49.68,3,9.21,49.42,2,9.19,,4,9.18,49.52
1,8.84,58.06,5,8.87,58.55,3,8.90,58.32,2,8.89,,4,8.90,58.42
1,8.77,1:06.83,5,8.76,1:07.31,3,8.72,1:07.04,2,8.72,,4,8.74,1:07.16
2,8.73,1:15.56,5,8.65,1:15.96,3,8.67,1:15.71,1,8.60,,3,8.55,1:15.71
3,8.79,1:24.35,5,8.78,1:24.74,4,8.92,1:24.63,1,8.60,,2,8.57,1:24.28
