Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
2,6.70,6.70,4,7.17,7.17,3,7.05,7.05,1,6.61,6.61
1,8.84,15.54,3,8.76,15.93,4,9.09,16.14,2,8.93,15.54
1,8.37,23.91,3,8.48,24.41,4,8.37,24.51,2,8.43,23.97
1,8.51,32.42,3,8.50,32.91,4,8.61,33.12,2,8.59,32.56
3,19.20,51.614,2,8.85,41.753,4,30.18,1:03.294,1,8.91,41.470
