Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
1,7.10,7.10,4,7.33,7.33,3,7.32,7.32,5,7.44,7.44,2,7.27,7.27
1,9.29,16.39,2,9.18,16.51,3,9.25,16.57,5,9.73,17.17,4,9.43,16.70
1,8.82,25.21,4,8.88,25.39,2,8.71,25.28,5,9.11,26.28,3,8.61,25.31
3,9.02,34.23,4,9.05,34.44,1,8.79,34.07,5,9.18,35.46,2,8.89,34.20
3,9.28,43.503,4,9.11,43.544,1,9.05,43.115,5,9.37,44.827,2,9.00,43.194
