LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
2,12.74,12.74,1,12.42,12.42,3,12.90,12.90,4,12.94,12.94
2,9.77,22.51,1,9.80,22.23,4,9.70,22.61,3,9.61,22.55
2,9.59,32.11,1,9.46,31.69,4,9.80,32.41,3,9.66,32.22
1,9.38,41.49,2,9.87,41.57,4,9.41,41.82,3,9.42,41.64
2,9.30,50.80,1,9.21,50.78,4,9.24,51.07,3,9.32,50.96
1,9.13,59.93,2,9.30,1:00.09,4,9.13,1:00.21,3,9.14,1:00.11
2,9.24,1:09.17,1,8.86,1:08.96,4,9.39,1:09.60,3,9.28,1:09.39
1,9.23,1:18.40,2,9.45,1:18.41,3,9.08,1:18.69,4,9.34,1:18.73
1,9.73,1:28.126,3,10.35,1:28.755,0,,DQ,2,9.54,1:28.267
