Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
2,6.74,6.74,1,6.66,6.66,4,7.22,7.22,3,7.03,7.03
2,8.94,15.69,1,8.93,15.59,3,8.83,16.06,4,9.06,16.10
1,8.71,24.41,3,9.46,25.06,2,8.35,24.42,4,14.83,30.93
1,8.81,33.23,3,18.08,43.14,2,9.07,33.49,4,19.27,50.21
1,9.02,42.249,0,,DQ,2,8.91,42.391,3,13.78,1:03.988
