de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Sebastian HYDZIK POSITION,Sebastian HYDZIK LAP TIME,Sebastian HYDZIK ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME
1,8.19,8.19,2,8.30,8.30,3,8.48,8.48,4,8.62,8.62,5,8.75,8.75,6,8.91,8.91,7,9.19,9.19
3,12.20,20.39,2,12.04,20.34,4,12.02,20.50,5,12.02,20.64,6,11.90,20.65,7,11.97,20.88,1,11.08,20.27
4,10.63,31.02,2,10.58,30.92,2,10.42,30.92,5,10.49,31.13,6,10.55,31.20,7,10.37,31.25,1,10.55,30.82
4,11.02,42.04,1,10.74,41.66,3,11.00,41.92,5,11.00,42.13,6,10.94,42.14,7,11.03,42.28,2,10.96,41.78
5,10.45,52.49,3,10.56,52.22,2,10.24,52.16,6,10.45,52.58,1,9.79,51.93,7,10.41,52.69,4,10.59,52.37
5,9.97,1:02.46,3,9.98,1:02.20,2,9.95,1:02.11,6,9.99,1:02.57,1,10.07,1:02.00,7,9.98,1:02.67,4,9.96,1:02.33
5,9.83,1:12.29,3,9.79,1:11.99,1,9.72,1:11.83,6,9.84,1:12.41,2,9.91,1:11.91,7,9.89,1:12.56,4,9.85,1:12.18
5,9.65,1:21.94,2,9.63,1:21.62,1,9.64,1:21.47,6,9.64,1:22.05,2,9.71,1:21.62,7,9.59,1:22.15,4,9.61,1:21.79
5,8.91,1:30.85,2,9.11,1:30.73,1,9.18,1:30.65,6,8.99,1:31.04,2,9.11,1:30.73,7,9.23,1:31.38,4,8.95,1:30.74
4,8.75,1:39.60,5,9.06,1:39.79,2,8.85,1:39.50,6,8.85,1:39.89,3,8.81,1:39.54,7,9.15,1:40.53,1,8.64,1:39.38
3,8.80,1:48.40,5,8.88,1:48.67,2,8.87,1:48.37,6,8.81,1:48.70,4,9.04,1:48.58,7,9.25,1:49.78,1,8.71,1:48.09
3,8.94,1:57.34,6,9.29,1:57.96,2,8.92,1:57.29,5,9.01,1:57.71,4,8.97,1:57.55,7,9.59,1:59.37,1,8.85,1:56.94
2,9.10,2:06.44,6,9.41,2:07.37,3,9.35,2:06.64,5,9.04,2:06.75,4,9.10,2:06.65,7,10.00,2:09.37,1,8.91,2:05.85
2,9.25,2:15.69,6,9.70,2:17.07,5,9.75,2:16.39,0,9.46,2:16.21,0,9.58,2:16.23,7,10.46,2:19.83,1,9.16,2:15.01
