AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Matthew MAK POSITION,Matthew MAK LAP TIME,Matthew MAK ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME
1,14.08,14.08,3,14.27,14.27,5,15.02,15.02,2,14.21,14.21,4,14.43,14.43
2,11.33,25.41,4,11.42,25.69,5,11.73,26.75,3,11.39,25.60,1,10.87,25.30
4,10.80,36.21,3,10.44,36.13,5,11.79,38.54,1,10.43,36.03,2,10.75,36.05
4,10.05,46.26,3,10.04,46.17,5,11.99,50.53,1,9.94,45.97,2,10.02,46.07
4,9.98,56.24,3,9.96,56.13,5,12.49,1:03.02,1,9.96,55.93,2,9.95,56.02
4,9.90,1:06.14,3,9.87,1:06.00,5,14.00,1:17.02,1,9.86,1:05.79,2,9.87,1:05.89
4,9.59,1:15.73,2,9.53,1:15.53,5,13.60,1:30.62,1,9.69,1:15.48,3,9.68,1:15.57
4,9.66,1:25.39,2,9.47,1:25.00,5,14.26,1:44.88,1,9.38,1:24.86,3,9.59,1:25.16
4,10.11,1:35.491,2,9.29,1:34.289,5,18.25,2:03.130,1,9.41,1:34.267,3,9.25,1:34.409
