Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
3,13.00,13.00,2,12.91,12.91,1,12.68,12.68,4,13.60,13.60
3,9.85,22.85,2,9.82,22.73,1,9.96,22.64,4,10.62,24.22
3,9.67,32.52,2,9.68,32.41,1,9.67,32.31,4,10.86,35.08
3,9.59,42.11,2,9.59,42.00,1,9.56,41.87,4,11.61,46.69
3,9.30,51.41,2,9.39,51.39,1,9.49,51.36,4,11.76,58.45
1,9.29,1:00.70,2,9.42,1:00.81,3,9.61,1:00.97,4,13.08,1:11.53
1,9.65,1:10.35,2,9.60,1:10.41,3,9.57,1:10.54,4,12.07,1:23.60
1,9.52,1:19.87,2,9.59,1:20.00,3,9.59,1:20.13,4,12.11,1:35.71
1,9.68,1:29.543,2,9.59,1:29.586,3,9.56,1:29.685,4,12.37,1:48.075
