Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
1,14.12,14.12,2,14.27,14.27,3,14.42,14.42,4,16.62,16.62
1,10.60,24.72,2,10.51,24.78,3,10.58,25.00,4,8.52,25.14
2,9.72,34.44,1,9.63,34.41,4,9.70,34.70,3,9.38,34.52
1,9.46,43.90,3,9.65,44.06,4,9.64,44.34,2,9.48,44.00
1,9.16,53.06,2,9.21,53.27,4,9.14,53.48,3,9.28,53.28
1,9.15,1:02.21,2,9.12,1:02.39,4,9.12,1:02.60,3,9.16,1:02.44
1,8.96,1:11.17,3,9.10,1:11.49,4,8.94,1:11.54,2,8.98,1:11.42
1,9.00,1:20.17,3,8.97,1:20.46,2,8.71,1:20.25,4,9.04,1:20.46
2,9.45,1:29.616,3,9.25,1:29.708,1,9.05,1:29.299,4,9.26,1:29.718
