Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Attila PIROS POSITION,Attila PIROS LAP TIME,Attila PIROS ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
4,7.037,7.037,3,7.025,7.025,1,6.791,6.791,2,6.965,6.965
3,9.391,16.428,1,8.961,15.985,4,9.815,16.606,2,9.370,16.334
2,8.919,25.347,1,8.977,24.962,4,9.083,25.688,3,9.219,25.553
2,9.162,34.508,1,8.878,33.839,4,9.132,34.820,3,9.104,34.656
2,9.19,43.695,1,9.30,43.131,4,9.70,44.516,3,9.08,43.736
