SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
1,13.06,13.06,2,13.07,13.07,3,13.36,13.36,4,13.41,13.41
1,10.18,23.24,2,10.20,23.28,3,10.15,23.52,4,10.27,23.69
2,9.96,33.21,1,9.84,33.12,3,9.80,33.32,4,9.85,33.54
2,9.94,43.15,1,9.89,43.01,4,10.10,43.42,3,9.84,43.38
1,9.59,52.75,2,9.85,52.87,3,9.59,53.02,4,9.70,53.08
1,9.45,1:02.21,4,9.61,1:02.48,2,9.28,1:02.31,3,9.28,1:02.37
1,9.33,1:11.54,4,9.54,1:12.02,2,9.41,1:11.73,3,9.52,1:11.89
1,9.37,1:20.92,4,9.51,1:21.54,2,9.30,1:21.03,3,9.34,1:21.24
1,9.52,1:30.437,4,9.87,1:31.407,2,9.63,1:30.657,3,9.61,1:30.842
