Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
1,7.20,7.20,2,7.29,7.29,3,7.32,7.32,4,7.55,7.55
2,9.76,16.96,1,9.37,16.67,3,9.78,17.11,4,9.65,17.21
2,9.18,26.15,1,9.23,25.90,3,9.17,26.28,4,9.22,26.43
2,9.20,35.36,1,9.28,35.18,3,9.18,35.47,4,9.11,35.54
2,9.49,44.850,1,9.63,44.808,3,9.52,44.989,4,9.55,45.081
