Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
4,9.36,9.36,3,9.24,9.24,2,9.10,9.10,1,8.87,8.87,5,9.60,9.60,6,9.76,9.76
4,11.66,21.02,3,11.63,20.87,2,11.73,20.83,1,10.39,19.26,5,11.52,21.12,6,11.47,21.23
4,10.82,31.84,3,10.88,31.75,2,10.80,31.63,1,9.24,28.50,5,10.87,31.99,6,10.84,32.07
5,10.97,42.81,3,10.88,42.63,2,10.88,42.51,1,9.37,37.87,4,10.76,42.75,6,10.89,42.96
6,11.08,53.89,3,10.86,53.49,2,10.92,53.43,1,9.48,47.35,4,10.78,53.53,5,10.73,53.69
6,10.50,1:04.39,2,10.10,1:03.59,5,10.45,1:03.88,1,9.76,57.11,3,10.16,1:03.69,4,10.08,1:03.77
6,10.23,1:14.62,2,9.82,1:13.41,5,9.88,1:13.76,1,10.05,1:07.16,3,9.87,1:13.56,4,9.90,1:13.67
6,10.59,1:25.21,2,9.70,1:23.11,5,9.62,1:23.38,1,10.28,1:17.44,3,9.66,1:23.22,4,9.62,1:23.29
6,10.86,1:36.07,3,9.83,1:32.94,5,9.79,1:33.17,1,10.49,1:27.93,4,9.85,1:33.07,2,9.64,1:32.93
6,11.24,1:47.31,4,9.64,1:42.58,4,9.41,1:42.58,1,10.64,1:38.57,3,9.24,1:42.31,2,9.24,1:42.17
6,11.75,1:59.06,5,9.84,1:52.42,4,9.39,1:51.97,1,10.91,1:49.48,3,9.06,1:51.37,2,9.10,1:51.27
6,12.93,2:11.99,5,10.46,2:02.88,4,9.60,2:01.57,3,11.16,2:00.64,2,9.13,2:00.50,1,9.07,2:00.34
6,12.25,2:24.24,5,11.16,2:14.04,3,10.12,2:11.69,4,11.42,2:12.06,2,9.51,2:10.01,1,9.52,2:09.86
6,12.48,2:36.72,5,11.69,2:25.73,3,10.48,2:22.17,4,11.48,2:23.54,2,9.99,2:20.00,1,9.94,2:19.80
