Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME,Jamie SUTTON POSITION,Jamie SUTTON LAP TIME,Jamie SUTTON ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME,Pier-Olivier GAGNON POSITION,Pier-Olivier GAGNON LAP TIME,Pier-Olivier GAGNON ELAPSED TIME,Ales GORECKI POSITION,Ales GORECKI LAP TIME,Ales GORECKI ELAPSED TIME
5,8.02,8.02,4,7.82,7.82,2,7.40,7.40,1,7.17,7.17,3,7.70,7.70
4,9.70,17.72,5,10.05,17.87,2,9.68,17.08,1,9.35,16.52,3,9.47,17.17
4,9.44,27.16,5,9.77,27.64,2,9.41,26.49,1,9.06,25.58,3,9.69,26.86
3,9.63,36.79,4,9.84,37.48,2,9.72,36.21,1,9.15,34.73,5,28.85,55.71
3,9.67,46.457,4,10.04,47.511,2,9.86,46.061,1,9.37,44.100,5,13.35,1:09.055
