Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
2,13.61,13.61,4,13.72,13.72,1,13.53,13.53,3,13.68,13.68
2,11.42,25.03,4,11.50,25.22,1,11.38,24.91,3,11.44,25.12
3,11.39,36.42,4,11.33,36.55,1,11.37,36.28,2,11.20,36.32
3,10.30,46.72,2,10.14,46.69,4,10.49,46.77,1,10.33,46.65
3,9.97,56.69,1,9.75,56.44,4,10.08,56.85,2,9.91,56.56
3,9.71,1:06.40,1,9.76,1:06.20,4,9.66,1:06.51,2,9.73,1:06.29
3,9.47,1:15.87,1,9.50,1:15.70,4,9.55,1:16.06,2,9.53,1:15.82
3,9.27,1:25.14,1,9.35,1:25.05,4,9.24,1:25.30,2,9.25,1:25.07
1,9.27,1:34.407,4,9.75,1:34.799,3,9.49,1:34.784,2,9.54,1:34.602
