Malika ERMEK POSITION,Malika ERMEK LAP TIME,Malika ERMEK ELAPSED TIME,ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,Anna JANSONE POSITION,Anna JANSONE LAP TIME,Anna JANSONE ELAPSED TIME,Olivia WEEDON POSITION,Olivia WEEDON LAP TIME,Olivia WEEDON ELAPSED TIME
1,8.22,8.22,3,8.54,8.54,2,8.34,8.34,4,8.64,8.64
2,10.51,18.73,3,10.24,18.78,1,10.09,18.43,4,10.26,18.90
2,9.64,28.37,3,9.67,28.45,1,9.43,27.86,4,9.66,28.56
2,9.56,37.93,3,9.63,38.08,1,9.69,37.55,4,9.68,38.24
2,9.69,47.626,3,9.67,47.759,1,9.81,47.361,4,9.75,47.992
