KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
4,8.13,8.13,5,8.37,8.37,2,8.02,8.02,3,8.12,8.12,7,8.53,8.53,1,7.95,7.95,6,8.42,8.42
6,10.69,18.83,2,10.34,18.71,5,10.77,18.80,4,10.64,18.77,3,10.21,18.75,1,10.62,18.57,7,10.65,19.08
3,10.07,28.91,4,10.21,28.92,7,10.38,29.18,2,10.08,28.85,5,10.33,29.09,1,10.22,28.80,6,10.04,29.12
6,10.50,39.41,3,10.26,39.18,2,9.97,39.15,4,10.36,39.21,7,12.72,41.81,1,10.11,38.91,5,10.12,39.25
5,10.01,49.43,2,10.03,49.21,6,10.28,49.44,7,10.33,49.55,4,7.60,49.41,3,10.47,49.39,1,9.80,49.06
7,9.78,59.21,1,9.62,58.84,5,9.73,59.17,6,9.65,59.20,2,9.47,58.88,4,9.57,58.96,3,9.85,58.92
5,9.37,1:08.58,2,9.54,1:08.38,7,9.50,1:08.68,4,9.31,1:08.52,1,9.25,1:08.14,3,9.52,1:08.48,6,9.75,1:08.67
3,9.27,1:17.85,2,9.44,1:17.82,7,9.53,1:18.21,4,9.33,1:17.85,1,9.39,1:17.53,5,9.55,1:18.03,6,9.36,1:18.03
4,9.44,1:27.30,3,9.40,1:27.22,7,9.52,1:27.73,2,9.36,1:27.21,1,9.54,1:27.08,6,9.62,1:27.65,5,9.31,1:27.34
3,9.41,1:36.71,1,9.38,1:36.61,6,9.34,1:37.08,2,9.40,1:36.61,5,9.77,1:36.85,7,9.45,1:37.11,4,9.45,1:36.80
4,9.27,1:45.98,3,9.30,1:45.92,5,9.70,1:46.78,2,9.15,1:45.77,1,8.64,1:45.50,6,9.71,1:46.82,7,35.21,2:12.01
4,9.24,1:55.22,3,9.12,1:55.04,5,9.58,1:56.37,2,9.01,1:54.78,1,9.23,1:54.73,6,10.36,1:57.19,7,17.54,2:29.56
4,9.34,2:04.57,3,9.44,2:04.48,5,9.65,2:06.03,2,9.28,2:04.06,1,9.26,2:04.00,6,10.64,2:07.83,7,12.19,2:41.75
4,10.32,2:14.883,3,9.62,2:14.092,5,9.81,2:15.840,2,9.52,2:13.579,1,9.55,2:13.542,6,11.58,2:19.406,7,11.65,2:53.391
