Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
1,9.98,9.98,3,10.14,10.14,2,10.13,10.13,4,10.28,10.28,6,10.62,10.62,5,10.42,10.42
3,13.78,23.76,4,13.83,23.97,1,13.55,23.68,5,13.83,24.11,6,13.63,24.25,2,13.27,23.69
3,11.91,35.67,4,11.82,35.79,2,11.84,35.52,5,11.79,35.90,6,11.75,36.00,1,11.73,35.42
3,12.38,48.05,4,12.35,48.14,2,12.40,47.92,5,12.38,48.28,6,12.36,48.36,1,12.41,47.83
1,11.80,59.85,5,12.23,1:00.37,3,12.14,1:00.06,4,11.99,1:00.27,6,12.14,1:00.50,2,12.14,59.97
1,11.06,1:10.91,4,10.81,1:11.18,2,10.96,1:11.02,5,10.91,1:11.18,6,10.86,1:11.36,3,11.17,1:11.14
2,9.70,1:20.61,1,9.38,1:20.56,3,9.75,1:20.77,5,9.78,1:20.96,4,9.54,1:20.90,6,9.87,1:21.01
2,9.48,1:30.09,1,9.46,1:30.02,3,9.42,1:30.19,5,9.48,1:30.44,4,9.42,1:30.32,6,9.52,1:30.53
2,9.65,1:39.74,1,9.62,1:39.64,3,9.65,1:39.84,6,9.63,1:40.07,4,9.63,1:39.95,5,9.49,1:40.02
2,9.54,1:49.28,1,9.57,1:49.21,3,9.59,1:49.43,6,9.74,1:49.81,4,9.61,1:49.56,5,9.64,1:49.66
2,9.37,1:58.65,1,9.35,1:58.56,4,9.41,1:58.84,6,9.40,1:59.21,3,9.25,1:58.81,5,9.36,1:59.02
2,9.27,2:07.92,1,9.27,2:07.83,5,9.53,2:08.37,6,9.39,2:08.60,3,9.32,2:08.13,4,9.20,2:08.22
2,9.32,2:17.24,1,9.31,2:17.14,5,9.59,2:17.96,6,9.59,2:18.19,3,9.32,2:17.45,4,9.40,2:17.62
2,9.36,2:26.594,1,9.41,2:26.545,5,9.95,2:27.906,6,9.80,2:27.989,3,9.40,2:26.845,4,9.27,2:26.882
