HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,6.66,6.66,4,6.89,6.89,2,6.83,6.83,3,6.86,6.86
1,8.77,15.43,4,8.91,15.80,3,8.91,15.75,2,8.72,15.58
1,8.48,23.92,4,8.39,24.19,3,8.43,24.18,2,8.40,23.99
3,8.56,32.49,4,8.37,32.56,2,8.28,32.47,1,8.41,32.40
1,8.78,41.263,0,,DQ,3,9.06,41.521,2,8.94,41.336
