Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
2,13.56,13.56,1,13.43,13.43,3,13.66,13.66,4,13.78,13.78
1,10.06,23.62,2,10.26,23.69,3,10.09,23.75,4,10.15,23.93
1,9.76,33.38,3,9.84,33.53,4,9.84,33.59,2,9.51,33.44
1,9.58,42.96,4,9.61,43.14,3,9.52,43.11,2,9.63,43.07
1,9.29,52.25,4,9.40,52.54,3,9.31,52.42,2,9.27,52.34
2,9.10,1:01.35,4,8.98,1:01.52,3,9.00,1:01.42,1,8.88,1:01.22
2,8.82,1:10.17,4,8.87,1:10.39,3,8.81,1:10.23,1,8.86,1:10.08
2,8.90,1:19.07,4,8.82,1:19.21,3,8.90,1:19.13,1,8.91,1:18.99
2,9.08,1:28.149,4,9.06,1:28.269,3,9.12,1:28.242,1,9.09,1:28.074
