LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
1,6.80,6.80,2,6.90,6.90,3,7.11,7.11,4,7.33,7.33
1,8.95,15.75,2,8.92,15.82,3,8.91,16.02,4,8.94,16.27
4,16.12,31.87,1,8.48,24.30,2,8.54,24.56,3,8.44,24.71
4,13.93,45.80,1,8.65,32.95,2,8.59,33.15,3,8.62,33.33
4,11.34,57.136,1,8.87,41.812,2,8.90,42.041,3,9.18,42.509
