Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME
1,7.08,7.08,2,7.20,7.20,3,7.28,7.28
2,9.47,16.55,1,9.19,16.39,3,9.45,16.73
2,9.01,25.56,1,9.07,25.46,3,9.19,25.92
2,9.10,34.66,1,9.04,34.50,3,9.43,35.35
2,9.39,44.045,1,9.51,44.001,3,9.72,45.066
