KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,7.01,7.01,3,7.31,7.31,2,7.13,7.13
1,9.25,16.26,3,9.10,16.41,2,9.18,16.31
2,8.64,24.90,3,8.52,24.93,1,8.41,24.72
2,8.96,33.86,3,9.09,34.02,1,8.60,33.32
2,8.91,42.77,3,8.83,42.85,1,8.68,42.00
