Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
3,13.645,13.645,1,13.528,13.528,4,13.961,13.961,2,13.607,13.607
3,10.402,24.047,1,10.299,23.827,4,10.291,24.252,2,10.272,23.878
3,10.005,34.051,2,10.141,33.968,4,10.137,34.389,1,10.039,33.917
3,9.940,43.991,1,9.828,43.795,4,9.720,44.109,2,9.984,43.900
3,9.815,53.805,1,9.735,53.530,4,9.763,53.871,2,9.731,53.631
1,9.127,1:02.932,3,9.652,1:03.182,4,9.559,1:03.430,2,9.459,1:03.090
1,9.273,1:12.205,4,9.497,1:12.678,3,9.207,1:12.637,2,9.306,1:12.396
1,9.595,1:21.799,4,9.467,1:22.145,3,9.377,1:22.014,2,9.493,1:21.888
4,9.98,1:31.771,3,9.58,1:31.721,2,9.63,1:31.636,1,9.71,1:31.595
