LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME
1,13.46,13.46,4,14.06,14.06,3,14.05,14.05,2,13.78,13.78
1,10.86,24.33,4,10.75,24.82,3,10.49,24.54,2,10.67,24.45
2,10.66,34.99,4,10.64,35.46,3,10.64,35.19,1,10.44,34.89
3,10.45,45.45,4,10.33,45.80,2,10.25,45.44,1,10.37,45.27
3,10.37,55.82,4,10.25,56.05,1,10.13,55.57,2,10.35,55.62
4,9.95,1:05.77,3,9.71,1:05.76,2,9.86,1:05.44,1,9.74,1:05.37
4,9.52,1:15.29,1,9.30,1:15.07,2,9.66,1:15.11,3,9.88,1:15.25
4,9.58,1:24.87,1,9.27,1:24.34,3,9.52,1:24.64,2,9.27,1:24.52
4,9.88,1:34.749,1,9.63,1:33.962,3,9.67,1:34.302,2,9.60,1:34.119
