Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
1,7.28,7.28,3,7.76,7.76,2,7.47,7.47,4,7.77,7.77
1,9.86,17.14,4,9.86,17.62,2,9.93,17.40,3,9.69,17.46
1,9.25,26.39,4,9.18,26.80,2,9.18,26.58,3,9.13,26.59
2,9.63,36.02,3,9.26,36.06,4,9.54,36.12,1,9.40,35.99
4,9.97,45.988,1,9.33,45.390,3,9.83,45.949,2,9.49,45.479
