Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Vincent COURNOYER POSITION,Vincent COURNOYER LAP TIME,Vincent COURNOYER ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME
2,8.05,8.05,1,7.93,7.93,5,8.20,8.20,4,8.12,8.12,3,8.09,8.09,6,8.37,8.37,7,8.58,8.58
4,10.47,18.52,1,10.46,18.39,5,10.44,18.64,3,10.37,18.49,2,10.36,18.45,6,10.38,18.75,7,10.45,19.03
3,9.87,28.39,1,9.83,28.22,5,9.91,28.55,4,10.00,28.49,2,9.87,28.32,6,9.81,28.56,7,9.69,28.72
3,10.07,38.46,1,10.04,38.26,5,10.09,38.64,6,10.28,38.77,2,10.04,38.36,4,9.97,38.53,7,10.19,38.91
4,9.89,48.35,1,9.99,48.25,3,9.71,48.35,6,9.83,48.60,2,9.98,48.34,5,9.91,48.44,7,9.86,48.77
3,9.69,58.04,2,9.65,57.90,1,9.50,57.85,6,9.64,58.24,5,9.88,58.22,4,9.66,58.10,7,9.65,58.42
5,9.91,1:07.95,2,9.78,1:07.68,1,9.74,1:07.59,4,9.62,1:07.86,6,9.84,1:08.06,3,9.66,1:07.76,7,9.69,1:08.11
5,10.04,1:17.99,1,9.99,1:17.67,2,10.12,1:17.71,3,9.95,1:17.81,7,10.19,1:18.25,4,10.12,1:17.88,6,10.02,1:18.13
5,9.71,1:27.70,1,9.61,1:27.28,3,9.69,1:27.40,2,9.58,1:27.39,7,9.94,1:28.19,4,9.66,1:27.54,6,9.85,1:27.98
4,9.57,1:37.27,1,9.44,1:36.72,5,10.10,1:37.50,2,9.44,1:36.83,7,9.98,1:38.17,3,9.49,1:37.03,6,9.91,1:37.89
4,9.61,1:46.88,1,9.35,1:46.07,7,11.92,1:49.42,2,9.39,1:46.22,6,10.40,1:48.57,3,9.41,1:46.44,5,10.38,1:48.27
4,9.67,1:56.55,2,9.33,1:55.40,7,12.38,2:01.80,1,9.13,1:55.35,6,10.70,1:59.27,3,9.12,1:55.56,5,10.97,1:59.24
4,10.04,2:06.59,2,9.46,2:04.86,7,12.40,2:14.20,1,9.41,2:04.76,5,11.09,2:10.36,3,9.59,2:05.15,6,11.60,2:10.84
4,10.30,2:16.881,2,9.62,2:14.474,0,,PEN,1,9.62,2:14.378,5,11.59,2:21.945,3,9.64,2:14.783,6,12.35,2:23.185
