LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
3,12.58,12.58,5,12.80,12.80,2,12.45,12.45,1,12.33,12.33,4,12.67,12.67
4,9.71,22.29,2,9.31,22.11,3,9.72,22.17,1,9.77,22.10,5,9.76,22.43
3,9.30,31.59,1,9.35,31.46,4,9.47,31.64,2,9.43,31.53,5,9.35,31.78
2,9.40,40.99,4,9.63,41.09,1,9.14,40.78,5,9.73,41.26,3,9.22,41.00
3,9.15,50.14,4,9.19,50.28,1,9.16,49.94,5,9.10,50.36,2,9.06,50.06
3,8.95,59.09,4,8.94,59.22,2,8.99,58.93,5,9.02,59.38,1,8.86,58.92
3,8.88,1:07.97,4,8.84,1:08.06,1,8.80,1:07.73,5,8.97,1:08.35,2,8.93,1:07.85
4,8.88,1:16.85,3,8.75,1:16.81,1,8.93,1:16.66,5,9.22,1:17.57,2,8.87,1:16.72
4,9.22,1:26.07,2,8.95,1:25.76,1,9.03,1:25.69,5,10.21,1:27.78,3,9.14,1:25.86
