Damiano GIULIANI POSITION,Damiano GIULIANI LAP TIME,Damiano GIULIANI ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Kiryl SHLIANAV POSITION,Kiryl SHLIANAV LAP TIME,Kiryl SHLIANAV ELAPSED TIME
4,13.67,13.67,1,11.44,11.44,5,15.93,15.93,2,13.63,13.63,3,13.64,13.64
3,10.46,24.13,1,12.19,23.63,5,8.56,24.49,2,10.02,23.65,4,10.66,24.30
3,9.11,33.24,5,10.66,34.29,4,9.09,33.58,1,8.98,32.63,2,8.51,32.81
3,9.69,42.93,5,8.93,43.22,4,9.43,43.01,1,9.96,42.59,2,10.00,42.81
4,9.42,52.35,5,9.18,52.40,2,8.90,51.91,1,8.99,51.58,3,9.16,51.97
2,8.77,1:01.12,3,8.86,1:01.26,4,9.56,1:01.47,1,9.54,1:01.12,5,10.86,1:02.83
3,10.18,1:11.30,4,10.15,1:11.41,2,9.52,1:10.99,1,9.53,1:10.65,5,10.27,1:13.10
3,9.12,1:20.42,4,9.16,1:20.57,2,9.42,1:20.41,1,9.55,1:20.20,5,11.17,1:24.27
2,9.71,1:30.127,4,10.55,1:31.114,1,9.65,1:30.058,3,10.38,1:30.572,5,11.62,1:35.888
