GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME
2,11.79,11.79,1,11.61,11.61,0,,,3,11.92,11.92
2,8.99,20.78,1,9.03,20.64,4,0.00,20.99,3,8.89,20.82
2,9.19,29.97,1,9.22,29.87,4,9.06,30.05,3,9.16,29.99
1,8.93,38.90,2,9.10,38.97,4,9.01,39.07,3,9.06,39.05
2,9.39,48.29,1,9.19,48.16,4,9.44,48.52,3,9.28,48.33
3,9.40,57.70,1,9.35,57.52,4,9.26,57.78,2,9.28,57.62
2,9.07,1:06.77,1,9.08,1:06.61,4,9.32,1:07.11,3,9.22,1:06.85
1,8.81,1:15.59,2,9.11,1:15.72,4,8.91,1:16.02,3,9.07,1:15.92
4,9.35,1:24.95,1,8.93,1:24.66,3,8.86,1:24.88,2,8.89,1:24.82
3,9.06,1:34.01,2,9.23,1:33.90,1,8.99,1:33.88,4,9.20,1:34.02
3,9.11,1:43.12,2,9.22,1:43.12,1,9.24,1:43.12,4,9.39,1:43.42
2,9.19,1:52.31,1,9.01,1:52.13,4,9.94,1:53.06,3,8.89,1:52.32
3,8.90,2:01.22,1,8.94,2:01.08,4,12.78,2:05.84,2,8.85,2:01.17
3,9.03,2:10.25,1,8.87,2:09.95,4,8.48,2:14.33,2,9.03,2:10.20
3,9.05,2:19.30,2,9.06,2:19.02,4,8.56,2:22.90,1,8.78,2:18.99
3,8.83,2:28.14,1,8.72,2:27.74,4,8.75,2:31.65,2,8.85,2:27.84
3,9.00,2:37.14,1,9.04,2:36.78,4,9.02,2:40.67,2,9.09,2:36.94
3,8.92,2:46.06,2,8.92,2:45.70,4,8.71,2:49.39,1,8.76,2:45.70
3,8.68,2:54.75,1,8.70,2:54.41,4,8.90,2:58.30,2,8.84,2:54.54
3,8.71,3:03.46,1,8.64,3:03.05,4,8.94,3:07.24,2,8.60,3:03.14
3,8.90,3:12.36,2,9.05,3:12.11,4,8.55,3:15.80,1,8.85,3:12.00
3,8.82,3:21.19,1,8.60,3:20.71,4,8.84,3:24.65,2,8.75,3:20.76
3,9.14,3:30.34,1,8.84,3:29.56,4,8.66,3:33.31,2,8.88,3:29.64
3,8.67,3:39.01,1,8.88,3:38.44,4,8.95,3:42.27,2,9.04,3:38.68
3,10.10,3:49.12,1,8.58,3:47.02,4,8.52,3:50.79,2,8.77,3:47.45
3,7.52,3:56.64,1,8.78,3:55.80,4,8.94,3:59.74,2,8.74,3:56.20
3,8.88,4:05.52,1,8.99,4:04.79,0,,,2,8.92,4:05.12
3,8.85,4:14.37,1,8.94,4:13.74,4,0.00,4:17.24,2,8.95,4:14.07
3,8.89,4:23.27,1,9.06,4:22.80,4,9.02,4:26.27,2,9.11,4:23.19
2,9.12,4:32.40,1,8.74,4:31.54,4,8.79,4:35.06,3,9.24,4:32.43
2,8.44,4:40.85,1,9.06,4:40.61,4,8.65,4:43.72,3,8.89,4:41.32
2,8.86,4:49.71,1,8.89,4:49.51,4,8.82,4:52.54,3,8.73,4:50.06
2,9.00,4:58.71,1,9.20,4:58.71,4,8.88,5:01.42,3,8.86,4:58.92
2,9.05,5:07.76,1,8.77,5:07.49,4,8.68,5:10.10,3,8.99,5:07.92
2,9.18,5:16.95,1,9.18,5:16.68,4,8.97,5:19.08,3,9.33,5:17.25
2,8.96,5:25.92,1,8.81,5:25.49,4,8.94,5:28.02,3,9.18,5:26.44
2,8.62,5:34.54,1,8.79,5:34.29,4,8.98,5:37.00,3,9.21,5:35.66
2,9.05,5:43.60,1,8.92,5:43.22,4,9.31,5:46.32,3,9.02,5:44.68
2,9.05,5:52.65,1,8.86,5:52.08,4,8.59,5:54.92,3,9.27,5:53.95
2,9.38,6:02.03,1,9.08,6:01.17,4,9.03,6:03.95,3,9.24,6:03.20
2,8.95,6:10.99,1,9.15,6:10.32,4,9.24,6:13.20,3,9.60,6:12.80
2,9.32,6:20.31,1,9.01,6:19.33,3,8.87,6:22.08,4,9.35,6:22.16
2,9.08,6:29.39,1,9.04,6:28.38,3,8.83,6:30.91,4,9.31,6:31.47
2,9.32,6:38.71,1,9.14,6:37.52,3,9.06,6:39.98,4,9.12,6:40.60
2,9.70,6:48.407,1,9.77,6:47.286,3,10.02,6:49.994,4,9.73,6:50.328
