van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
1,9.44,9.44,3,9.57,9.57,4,9.71,9.71,6,10.05,10.05,5,9.88,9.88,2,9.47,9.47
1,13.36,22.80,3,13.56,23.13,4,13.61,23.32,6,13.59,23.64,5,13.62,23.50,2,13.51,22.98
1,12.79,35.59,3,12.71,35.84,4,12.66,35.98,6,12.64,36.28,5,12.60,36.10,2,12.74,35.72
1,13.05,48.64,3,13.02,48.86,4,12.98,48.96,6,12.95,49.23,5,12.97,49.07,2,13.03,48.75
2,12.92,1:01.56,1,12.64,1:01.50,4,12.80,1:01.76,6,12.84,1:02.07,5,12.84,1:01.91,3,12.92,1:01.67
3,12.18,1:13.74,1,12.11,1:13.61,2,11.96,1:13.72,6,12.02,1:14.09,5,12.04,1:13.95,4,12.19,1:13.86
1,10.94,1:24.68,2,11.09,1:24.70,3,11.06,1:24.78,6,11.02,1:25.11,5,11.04,1:24.99,4,10.96,1:24.82
2,10.10,1:34.78,1,9.85,1:34.55,4,10.26,1:35.04,6,10.22,1:35.33,5,10.19,1:35.18,3,10.07,1:34.89
2,9.51,1:44.29,1,9.65,1:44.20,4,9.50,1:44.54,6,9.51,1:44.84,5,9.52,1:44.70,3,9.55,1:44.44
2,9.66,1:53.95,1,9.67,1:53.87,4,9.59,1:54.13,6,9.51,1:54.35,5,9.54,1:54.24,3,9.59,1:54.03
2,9.67,2:03.62,1,9.62,2:03.49,3,9.60,2:03.73,6,9.76,2:04.11,5,9.66,2:03.90,4,9.70,2:03.73
2,9.68,2:13.30,1,9.64,2:13.13,5,9.89,2:13.62,6,9.76,2:13.87,4,9.68,2:13.58,3,9.73,2:13.46
2,9.97,2:23.27,1,9.87,2:23.00,5,10.01,2:23.63,6,9.92,2:23.79,4,9.85,2:23.43,3,9.87,2:23.33
2,10.31,2:33.573,1,10.20,2:33.192,6,10.37,2:33.998,5,10.12,2:33.901,4,10.32,2:33.750,3,10.31,2:33.637
