Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME
3,7.31,7.31,1,7.06,7.06,2,7.30,7.30,4,7.63,7.63
3,9.32,16.63,1,9.09,16.15,2,9.29,16.59,4,10.12,17.75
3,8.85,25.48,1,8.59,24.74,2,8.83,25.42,4,9.86,27.61
2,8.92,34.40,1,8.69,33.43,3,9.19,34.61,4,10.07,37.68
2,9.24,43.640,1,8.92,42.346,3,9.43,44.039,4,10.31,47.990
