BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,13.94,13.94,2,14.06,14.06,3,14.12,14.12,4,14.24,14.24
1,10.69,24.63,3,10.69,24.75,2,10.63,24.75,4,10.72,24.96
2,10.01,34.64,1,9.86,34.61,3,10.05,34.80,4,10.04,35.00
1,9.62,44.26,3,9.81,44.42,2,9.51,44.31,4,9.51,44.51
1,9.47,53.73,3,9.47,53.89,2,9.53,53.84,4,9.54,54.05
1,9.27,1:03.00,4,9.39,1:03.28,2,9.28,1:03.12,3,9.22,1:03.27
1,9.15,1:12.15,4,9.38,1:12.66,2,9.16,1:12.28,3,9.12,1:12.39
1,9.34,1:21.49,4,9.26,1:21.92,3,9.41,1:21.69,2,9.26,1:21.65
1,9.54,1:31.027,4,9.69,1:31.603,3,9.83,1:31.513,2,9.41,1:31.060
