GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,Michal CUJA POSITION,Michal CUJA LAP TIME,Michal CUJA ELAPSED TIME,Alex NIETO-GUARASA POSITION,Alex NIETO-GUARASA LAP TIME,Alex NIETO-GUARASA ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME
2,10.62,10.62,3,10.66,10.66,4,10.74,10.74,1,10.61,10.61,5,10.87,10.87,6,11.07,11.07,7,11.37,11.37
2,14.40,25.02,3,14.44,25.10,4,14.49,25.23,1,14.32,24.93,5,14.47,25.34,6,14.39,25.46,7,14.24,25.61
1,14.19,39.21,3,14.38,39.48,4,14.38,39.61,2,14.39,39.32,5,14.41,39.75,6,14.43,39.89,7,14.39,40.00
1,14.33,53.54,4,14.31,53.79,5,14.32,53.93,2,14.30,53.62,6,14.24,53.99,7,14.25,54.14,3,13.72,53.72
2,11.46,1:05.00,5,11.43,1:05.22,4,11.25,1:05.18,3,11.51,1:05.13,6,11.38,1:05.37,7,11.48,1:05.62,1,11.25,1:04.97
1,11.10,1:16.10,3,11.11,1:16.33,3,11.15,1:16.33,5,11.37,1:16.50,6,11.15,1:16.52,7,11.15,1:16.77,2,11.27,1:16.24
1,10.74,1:26.84,4,10.86,1:27.19,3,10.67,1:27.00,5,10.77,1:27.27,6,10.81,1:27.33,7,11.03,1:27.80,2,10.74,1:26.98
1,10.13,1:36.97,3,10.19,1:37.38,2,10.09,1:37.09,5,10.33,1:37.60,6,10.40,1:37.73,7,10.99,1:38.79,4,10.61,1:37.59
1,10.00,1:46.97,3,9.90,1:47.28,2,10.02,1:47.11,4,9.81,1:47.41,5,9.89,1:47.62,7,11.41,1:50.20,6,10.48,1:48.07
1,9.46,1:56.43,3,9.78,1:57.06,2,9.58,1:56.69,4,9.78,1:57.19,5,10.05,1:57.67,7,11.65,2:01.85,6,10.52,1:58.59
1,9.42,2:05.85,3,9.92,2:06.98,2,9.45,2:06.14,4,9.88,2:07.07,5,10.66,2:08.33,7,11.98,2:13.83,6,11.19,2:09.78
2,9.76,2:15.61,3,10.23,2:17.21,1,9.42,2:15.56,4,10.61,2:17.68,5,11.24,2:19.57,7,12.80,2:26.63,6,11.72,2:21.50
2,10.40,2:26.01,3,10.81,2:28.02,1,9.77,2:25.33,4,11.24,2:28.92,5,12.31,2:31.88,7,12.48,2:39.11,6,11.95,2:33.45
2,10.75,2:36.740,3,11.81,2:39.808,1,10.38,2:35.695,4,12.10,2:41.002,5,12.92,2:44.770,7,12.70,2:51.786,6,12.19,2:45.607
