ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME
2,7.58,7.58,1,7.33,7.33,3,7.75,7.75,5,7.94,7.94,4,7.83,7.83
2,9.68,17.26,1,9.81,17.14,3,9.72,17.47,4,9.76,17.70,5,10.10,17.93
3,9.57,26.83,1,9.38,26.52,2,9.08,26.55,4,9.23,26.93,5,9.11,27.04
3,9.51,36.34,1,9.54,36.06,2,9.74,36.29,4,9.52,36.45,5,9.57,36.61
4,9.78,46.126,1,9.56,45.62,2,9.76,46.056,3,9.66,46.119,5,9.58,46.197
