Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Magdalena SZWAJLIK POSITION,Magdalena SZWAJLIK LAP TIME,Magdalena SZWAJLIK ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
4,8.64,8.64,1,7.89,7.89,3,8.32,8.32,5,8.82,8.82,2,8.10,8.10
4,10.60,19.24,1,10.58,18.47,3,10.47,18.79,5,10.61,19.43,2,10.57,18.67
4,10.31,29.55,1,10.63,29.10,3,10.62,29.41,5,10.28,29.71,2,10.59,29.26
4,10.62,40.17,1,10.71,39.81,3,10.64,40.05,5,10.60,40.31,2,10.62,39.88
4,10.91,51.08,1,10.90,50.71,3,10.85,50.90,5,10.92,51.23,2,10.93,50.81
4,10.63,1:01.71,1,10.74,1:01.45,3,10.75,1:01.65,5,10.64,1:01.87,2,10.75,1:01.56
3,11.03,1:12.74,2,11.13,1:12.58,4,11.13,1:12.78,5,11.11,1:12.98,1,10.97,1:12.53
2,9.81,1:22.55,3,10.13,1:22.71,4,10.26,1:23.04,5,10.26,1:23.24,1,9.82,1:22.35
2,10.27,1:32.82,3,10.23,1:32.94,4,10.38,1:33.42,5,10.32,1:33.56,1,10.34,1:32.69
2,10.62,1:43.44,3,10.62,1:43.56,4,10.80,1:44.22,5,10.77,1:44.33,1,10.62,1:43.31
2,10.29,1:53.73,3,10.36,1:53.92,4,10.80,1:55.02,5,11.03,1:55.36,1,10.29,1:53.60
2,10.20,2:03.93,3,10.45,2:04.37,4,11.58,2:06.60,5,11.46,2:06.82,1,10.24,2:03.84
1,9.84,2:13.77,3,10.88,2:15.25,4,11.77,2:18.37,5,11.97,2:18.79,2,10.19,2:14.03
1,10.43,2:24.195,3,11.56,2:26.807,4,12.25,2:30.619,5,12.40,2:31.183,2,10.68,2:24.702
