TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
1,12.35,12.35,3,12.98,12.98,2,12.86,12.86,4,13.16,13.16
1,10.10,22.45,3,9.76,22.74,2,9.69,22.55,4,9.70,22.86
1,9.74,32.19,3,9.70,32.44,2,9.76,32.31,4,9.72,32.58
2,9.82,42.01,3,9.70,42.14,1,9.62,41.93,4,9.67,42.25
2,9.93,51.94,3,9.98,52.12,1,9.79,51.72,4,10.00,52.25
2,9.79,1:01.73,3,9.73,1:01.85,1,9.85,1:01.57,4,9.72,1:01.97
2,10.10,1:11.83,3,10.14,1:11.99,1,10.13,1:11.70,4,10.21,1:12.18
2,10.24,1:22.07,3,10.21,1:22.20,1,10.27,1:21.97,4,10.12,1:22.30
1,9.59,1:31.66,3,9.71,1:31.91,2,9.80,1:31.77,4,9.76,1:32.06
4,19.28,1:50.94,2,9.88,1:41.79,1,9.91,1:41.68,3,9.86,1:41.92
4,10.01,2:00.95,2,9.80,1:51.59,1,9.79,1:51.47,3,9.82,1:51.74
4,9.06,2:10.01,2,9.67,2:01.26,1,9.58,2:01.05,3,9.65,2:01.39
4,8.79,2:18.80,2,9.38,2:10.64,1,9.46,2:10.51,3,9.34,2:10.73
4,8.98,2:27.78,2,9.43,2:20.07,1,9.42,2:19.93,3,9.45,2:20.18
4,9.19,2:36.97,2,9.40,2:29.47,1,9.44,2:29.37,3,9.40,2:29.58
4,9.18,2:46.15,1,9.27,2:38.74,2,9.46,2:38.83,3,9.43,2:39.01
4,9.14,2:55.29,1,9.32,2:48.06,2,9.33,2:48.16,3,9.26,2:48.27
4,9.05,3:04.34,1,9.18,2:57.24,2,9.19,2:57.35,3,9.24,2:57.51
4,8.95,3:13.29,1,9.11,3:06.35,2,9.08,3:06.43,3,9.03,3:06.54
4,9.02,3:22.31,1,9.07,3:15.42,2,9.08,3:15.51,3,9.15,3:15.69
4,9.26,3:31.57,1,9.06,3:24.48,2,9.10,3:24.61,3,9.03,3:24.72
4,9.20,3:40.77,1,9.16,3:33.64,2,9.12,3:33.73,3,9.13,3:33.85
4,9.30,3:50.07,1,9.11,3:42.75,2,9.12,3:42.85,3,9.09,3:42.94
4,9.12,3:59.19,1,8.86,3:51.61,2,8.88,3:51.73,3,8.90,3:51.84
4,8.95,4:08.14,1,8.91,4:00.52,2,8.87,4:00.60,3,8.89,4:00.73
4,9.07,4:17.21,1,8.92,4:09.44,2,8.97,4:09.57,3,9.02,4:09.75
4,9.39,4:26.60,1,8.70,4:18.14,2,8.80,4:18.37,3,8.65,4:18.40
4,9.22,4:35.82,1,8.97,4:27.11,2,9.03,4:27.40,3,9.04,4:27.44
4,9.72,4:45.54,1,8.98,4:36.09,2,8.94,4:36.34,3,8.98,4:36.42
4,9.31,4:54.85,1,8.75,4:44.84,2,8.80,4:45.14,3,8.80,4:45.22
4,9.00,5:03.85,1,8.84,4:53.68,2,8.71,4:53.85,3,8.79,4:54.01
4,9.04,5:12.89,1,8.88,5:02.56,2,8.86,5:02.71,3,8.86,5:02.87
4,9.55,5:22.44,1,8.71,5:11.27,2,8.79,5:11.50,3,8.75,5:11.62
4,9.42,5:31.86,1,8.86,5:20.13,2,9.03,5:20.53,3,8.99,5:20.61
4,9.44,5:41.30,1,8.85,5:28.98,2,9.02,5:29.55,3,9.05,5:29.66
4,9.25,5:50.55,1,8.76,5:37.74,3,8.92,5:38.47,2,8.61,5:38.27
4,9.17,5:59.72,1,8.82,5:46.56,3,8.88,5:47.35,2,8.59,5:46.86
4,9.06,6:08.78,1,8.88,5:55.44,3,9.12,5:56.47,2,8.72,5:55.58
4,9.47,6:18.25,1,8.80,6:04.24,3,9.04,6:05.51,2,8.76,6:04.34
4,9.30,6:27.55,1,9.15,6:13.39,3,9.17,6:14.68,2,9.14,6:13.48
4,10.02,6:37.57,1,8.98,6:22.37,3,9.22,6:23.90,2,9.01,6:22.49
4,9.89,6:47.46,3,15.31,6:37.68,2,9.03,6:32.93,1,8.90,6:31.39
4,9.21,6:56.67,3,9.33,6:47.01,2,9.34,6:42.27,1,9.20,6:40.59
4,9.35,7:06.02,3,8.94,6:55.95,2,9.55,6:51.82,1,9.13,6:49.72
4,9.89,7:15.899,3,9.43,7:05.366,2,10.16,7:01.964,1,10.19,6:59.893
