Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
4,16.509,16.509,3,16.386,16.386,1,16.049,16.049,2,16.260,16.260
3,10.718,27.227,4,10.896,27.281,1,11.079,27.127,2,10.928,27.188
1,10.550,37.776,4,10.736,38.017,3,10.825,37.952,2,10.713,37.901
1,10.178,47.953,4,10.302,48.318,2,10.195,48.146,3,10.353,48.254
1,10.214,58.166,4,10.153,58.470,3,10.048,58.194,2,9.918,58.171
2,9.913,1:08.079,4,9.919,1:08.389,1,9.884,1:08.078,3,9.982,1:08.153
3,10.062,1:18.140,4,10.040,1:18.428,2,10.012,1:18.090,1,9.897,1:18.049
2,10.018,1:28.158,3,10.239,1:28.666,1,10.016,1:28.105,4,10.963,1:29.012
2,10.21,1:38.366,3,10.43,1:39.088,1,10.18,1:38.282,0,,DQ
