Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME
1,13.15,13.15,3,13.28,13.28,4,13.43,13.43,2,13.24,13.24
3,10.25,23.40,1,9.93,23.21,4,10.07,23.50,2,10.07,23.31
3,10.09,33.49,2,10.10,33.31,4,10.06,33.56,1,9.97,33.28
3,9.51,43.00,2,9.60,42.91,4,9.52,43.08,1,9.50,42.78
3,9.43,52.43,2,9.40,52.31,4,9.48,52.56,1,9.43,52.21
3,9.15,1:01.58,2,9.16,1:01.47,4,9.09,1:01.65,1,9.15,1:01.36
1,8.75,1:10.33,3,8.96,1:10.43,4,8.82,1:10.47,2,9.00,1:10.36
1,8.79,1:19.12,4,8.96,1:19.39,2,8.71,1:19.18,3,8.97,1:19.33
2,8.97,1:28.087,4,8.82,1:28.202,1,8.83,1:28.009,3,8.85,1:28.178
