Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,13.94,13.94,1,13.82,13.82,2,13.92,13.92,4,14.16,14.16,5,14.30,14.30
2,10.39,24.33,3,10.54,24.36,1,10.33,24.25,4,10.38,24.54,5,10.37,24.67
1,9.62,33.95,3,9.75,34.11,2,9.76,34.01,4,9.68,34.22,5,9.67,34.34
1,9.70,43.65,3,9.76,43.87,2,9.73,43.74,4,9.73,43.95,5,9.77,44.11
1,9.52,53.17,3,9.53,53.40,2,9.54,53.28,4,9.53,53.48,5,9.50,53.61
1,9.26,1:02.43,3,9.29,1:02.69,2,9.26,1:02.54,4,9.30,1:02.78,5,9.30,1:02.91
1,9.19,1:11.62,3,9.17,1:11.86,2,9.18,1:11.72,4,9.20,1:11.98,5,9.19,1:12.10
1,9.33,1:20.95,3,9.29,1:21.15,2,9.33,1:21.05,4,9.26,1:21.24,5,9.24,1:21.34
1,9.60,1:30.55,5,35.86,1:57.017,2,9.56,1:30.61,3,9.46,1:30.70,4,9.44,1:30.788
