ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
2,13.99,13.99,3,14.02,,4,14.06,14.06,5,14.19,14.19,1,13.92,
3,10.59,24.58,2,10.44,,4,10.62,24.68,5,10.61,24.80,1,10.44,
4,10.00,34.58,1,9.92,,2,9.76,34.44,5,9.91,34.71,3,10.16,
3,9.42,44.00,1,9.53,,2,9.55,43.99,5,9.55,44.26,4,9.49,
1,9.34,53.34,5,30.85,,2,9.74,53.73,4,9.81,54.07,3,9.84,
1,9.68,1:03.02,5,16.63,,2,9.40,1:03.13,4,9.72,1:03.79,3,9.37,
1,9.74,1:12.76,5,14.41,,2,9.78,1:12.91,4,10.07,1:13.86,3,9.76,
1,9.61,1:22.37,5,14.34,,2,9.57,1:22.48,4,10.44,1:24.30,3,9.65,
1,9.69,1:32.06,5,13.49,2:13.63,2,9.67,1:32.15,3,10.73,1:35.035,3,9.62,
