Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Kristina KOBLER POSITION,Kristina KOBLER LAP TIME,Kristina KOBLER ELAPSED TIME,Emilie NADEAU-BENOIT POSITION,Emilie NADEAU-BENOIT LAP TIME,Emilie NADEAU-BENOIT ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,14.400,14.400,3,14.646,14.646,2,14.543,14.543,4,14.656,14.656
1,11.464,25.864,4,11.478,26.123,2,11.349,25.891,3,11.450,26.105
1,11.262,37.125,3,11.269,37.392,2,11.367,37.258,4,11.357,37.462
2,11.004,48.129,3,10.877,48.268,1,10.846,48.103,4,10.949,48.410
2,10.311,58.439,3,10.233,58.500,1,10.188,58.291,4,10.202,58.612
2,9.941,1:08.380,3,9.959,1:08.458,1,9.948,1:08.238,4,9.953,1:08.564
1,9.762,1:18.142,3,10.130,1:18.588,2,9.948,1:18.185,4,10.127,1:18.691
2,10.337,1:28.478,3,10.462,1:29.050,1,10.268,1:28.453,4,10.427,1:29.118
2,10.60,1:39.073,3,10.78,1:39.829,1,10.58,1:39.027,4,10.79,1:39.902
