Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,LEE Seongwoo POSITION,LEE Seongwoo LAP TIME,LEE Seongwoo ELAPSED TIME,GAGNON-LAMARCHE Antoine POSITION,GAGNON-LAMARCHE Antoine LAP TIME,GAGNON-LAMARCHE Antoine ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
1,13.25,13.25,2,13.43,13.43,3,13.57,13.57,3,13.57,13.57
2,10.50,23.75,1,10.24,23.67,3,10.35,23.92,4,10.49,24.06
1,10.09,33.84,2,10.39,34.06,3,10.22,34.14,4,10.15,34.21
1,9.38,43.22,3,9.53,43.59,2,9.39,43.53,4,9.44,43.65
1,9.41,52.63,2,9.38,52.97,4,9.63,53.16,3,9.44,53.09
1,9.64,1:02.27,3,9.57,1:02.54,4,9.49,1:02.65,2,9.40,1:02.49
1,9.13,1:11.40,4,9.24,1:11.78,3,8.94,1:11.59,2,9.08,1:11.57
2,8.92,1:20.32,3,8.80,1:20.58,4,9.07,1:20.66,1,8.62,1:20.19
4,9.50,1:29.820,2,8.86,1:29.440,3,9.14,1:29.809,1,8.95,1:29.147
