Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
2,13.29,13.29,3,13.39,13.39,1,13.20,13.20,4,13.51,13.51
1,10.17,23.46,3,10.28,23.67,2,10.38,23.58,4,10.28,23.79
1,9.88,33.34,3,9.87,33.54,2,9.88,33.46,4,9.89,33.68
1,9.63,42.97,3,9.58,43.12,2,9.63,43.09,4,9.50,43.18
1,9.25,52.22,2,9.19,52.31,3,9.36,52.45,4,9.38,52.56
2,9.47,1:01.69,1,9.27,1:01.58,3,9.24,1:01.69,4,9.25,1:01.81
2,9.58,1:11.27,1,9.56,1:11.14,3,9.89,1:11.58,4,10.09,1:11.90
2,9.34,1:20.61,1,9.35,1:20.49,3,9.51,1:21.09,4,9.94,1:21.84
2,9.53,1:30.134,1,9.43,1:29.919,3,9.65,1:30.737,4,9.89,1:31.729
