Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME
1,6.67,6.67,3,6.90,6.90,4,7.10,7.10,2,6.68,6.68,5,7.22,7.22
2,9.05,15.72,3,9.06,15.96,5,9.16,16.26,1,8.93,15.61,4,9.02,16.24
2,8.56,24.28,3,8.68,24.64,5,8.81,25.07,1,8.63,24.24,4,8.59,24.83
2,8.75,33.03,4,8.79,33.43,5,8.74,33.81,1,8.70,32.94,3,8.59,33.42
1,8.82,41.846,4,9.10,42.530,5,9.00,42.806,2,9.15,42.083,3,9.00,42.415
