van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
1,7.10,7.10,2,7.30,7.30,3,7.67,7.67,4,7.90,7.90,5,7.92,7.92
1,9.42,16.52,2,9.35,16.65,3,9.49,17.16,5,9.74,17.64,4,9.62,17.54
1,8.88,25.40,2,8.89,25.54,3,9.00,26.16,5,9.22,26.86,4,9.17,26.71
1,9.02,34.42,2,8.98,34.52,3,9.28,35.44,5,9.21,36.07,4,9.08,35.79
5,16.47,50.894,1,9.33,43.85,3,9.70,45.14,4,9.47,45.545,2,9.29,45.08
