Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
2,12.25,12.25,3,12.32,12.32,4,12.64,12.64,1,12.06,12.06
2,9.74,21.99,3,9.66,21.99,4,9.43,22.07,1,9.87,21.93
2,9.56,31.56,3,9.59,31.59,4,9.54,31.62,1,9.20,31.13
3,9.73,41.29,2,9.55,41.14,4,9.74,41.36,1,9.91,41.04
4,9.62,50.91,2,9.49,50.63,1,9.26,50.62,3,9.70,50.75
4,9.36,1:00.28,3,9.57,1:00.20,1,9.00,59.62,2,9.26,1:00.02
3,8.85,1:09.14,4,9.40,1:09.60,1,8.70,1:08.33,2,8.97,1:08.99
3,9.06,1:18.20,4,9.59,1:19.20,1,9.16,1:17.49,2,9.15,1:18.14
0,,DQ,3,10.30,1:29.492,1,9.43,1:26.917,2,9.53,1:27.667
