Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,6.89,6.89,4,7.17,7.17,3,7.09,7.09,1,6.68,6.68
2,9.07,15.96,3,9.01,16.18,4,9.22,16.31,1,9.15,15.83
1,8.32,24.28,3,8.25,24.43,4,8.27,24.58,2,8.49,24.32
1,8.55,32.83,2,8.52,32.95,4,8.68,33.26,3,8.76,33.08
1,8.66,41.484,2,8.61,41.557,4,8.88,42.135,3,8.66,41.731
