Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
3,14.02,14.02,2,13.87,13.87,1,13.61,13.61,4,14.17,14.17
3,10.37,24.39,2,10.42,24.29,1,10.56,24.17,4,10.34,24.51
2,10.12,34.51,3,10.27,34.56,1,10.29,34.46,4,10.22,34.73
1,9.69,44.20,3,9.79,44.35,2,9.76,44.22,4,9.71,44.44
4,9.88,54.08,2,9.36,53.71,1,9.34,53.56,3,9.41,53.85
4,9.13,1:03.21,2,9.24,1:02.95,1,9.35,1:02.91,3,9.23,1:03.08
4,9.25,1:12.46,1,9.12,1:12.07,3,9.52,1:12.43,2,9.21,1:12.29
3,9.48,1:21.94,1,9.25,1:21.32,4,9.55,1:21.98,2,9.56,1:21.85
4,10.12,1:32.059,1,9.64,1:30.952,3,9.78,1:31.760,2,9.64,1:31.487
