Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
4,15.017,15.017,2,14.633,14.633,1,14.373,14.373,3,14.817,14.817
4,10.301,25.317,2,10.397,25.030,3,10.778,25.151,1,10.186,25.002
4,10.781,36.097,2,10.812,35.841,1,10.346,35.496,3,10.932,35.934
3,10.451,46.548,4,10.868,46.708,1,10.616,46.111,2,10.534,46.467
4,10.075,56.622,1,9.133,55.841,2,9.753,55.864,3,9.891,56.358
4,9.604,1:06.226,1,9.486,1:05.326,3,9.674,1:05.538,2,9.075,1:05.433
4,9.125,1:15.351,2,9.488,1:14.813,1,8.743,1:14.280,3,9.463,1:14.895
4,9.819,1:25.169,2,8.659,1:23.472,1,8.923,1:23.203,3,9.839,1:24.734
4,11.12,1:36.282,2,10.29,1:33.757,1,10.20,1:33.401,3,9.86,1:34.595
