Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
3,14.67,14.67,2,14.59,14.59,1,14.49,14.49,4,14.69,14.69
4,10.88,25.55,1,10.78,25.37,2,10.94,25.43,3,10.82,25.51
4,10.42,35.97,2,10.36,35.73,1,10.17,35.60,3,10.33,35.84
1,9.56,45.53,2,9.91,45.64,4,10.26,45.86,3,9.90,45.74
1,9.88,55.41,2,9.89,55.53,4,9.89,55.75,3,9.86,55.60
1,9.77,1:05.18,2,9.85,1:05.38,4,9.92,1:05.67,3,9.87,1:05.47
1,9.56,1:14.74,2,9.40,1:14.78,4,9.69,1:15.36,3,9.81,1:15.28
1,9.61,1:24.35,2,9.68,1:24.46,3,9.73,1:25.09,4,9.81,1:25.09
1,9.68,1:34.023,2,9.65,1:34.106,0,,PEN,3,10.08,1:35.170
