WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
1,13.06,13.06,3,13.32,13.32,2,13.18,13.18,4,13.50,13.50
2,10.04,23.10,1,9.69,23.01,3,10.03,23.21,4,9.87,23.37
2,9.77,32.87,1,9.71,32.72,3,9.74,32.95,4,9.70,33.07
2,9.71,42.58,1,9.70,42.42,3,9.74,42.69,4,9.73,42.80
1,9.09,51.67,2,9.27,51.69,3,9.18,51.87,4,9.34,52.14
1,8.96,1:00.63,2,9.03,1:00.72,3,8.95,1:00.82,4,9.21,1:01.35
1,8.88,1:09.51,3,9.00,1:09.72,2,8.78,1:09.60,4,9.49,1:10.84
1,9.01,1:18.52,3,9.10,1:18.82,2,9.04,1:18.64,4,9.95,1:20.79
1,9.16,1:27.674,3,9.37,1:28.188,2,9.16,1:27.796,4,10.29,1:31.074
