Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,12.16,12.16,2,12.26,12.26,3,12.44,12.44,4,12.51,12.51,5,12.83,12.83
1,9.30,21.46,2,9.34,21.60,3,9.26,21.70,4,9.25,21.76,5,9.03,21.86
1,9.18,30.64,2,9.17,30.77,3,9.16,30.86,5,9.29,31.05,4,9.08,30.94
2,9.22,39.86,1,9.08,39.85,3,9.10,39.96,5,9.09,40.14,4,9.10,40.04
4,9.54,49.40,2,9.42,49.27,3,9.38,49.34,5,9.34,49.48,1,9.18,49.22
4,9.64,59.04,2,9.56,58.83,3,9.60,58.94,5,9.64,59.12,1,9.52,58.74
4,9.47,1:08.51,2,9.32,1:08.15,3,9.33,1:08.27,5,9.50,1:08.62,1,9.34,1:08.08
4,9.52,1:18.03,2,9.39,1:17.54,3,9.36,1:17.63,5,9.48,1:18.10,1,9.37,1:17.45
3,9.92,1:27.950,5,30.71,1:48.248,2,9.42,1:27.048,4,9.93,1:28.027,1,9.41,1:26.855
