HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Rafal GRYCNER POSITION,Rafal GRYCNER LAP TIME,Rafal GRYCNER ELAPSED TIME,Pietro de LORENZIS POSITION,Pietro de LORENZIS LAP TIME,Pietro de LORENZIS ELAPSED TIME
2,6.97,6.97,1,6.76,6.76,4,7.15,7.15,3,7.08,7.08,5,7.41,7.41
2,8.91,15.88,1,9.08,15.84,4,9.21,16.36,3,9.16,16.24,5,9.25,16.66
1,8.59,24.47,2,8.74,24.58,3,8.81,25.17,4,9.04,25.28,5,8.99,25.65
1,8.75,33.22,2,9.03,33.61,3,9.15,34.32,4,9.20,34.48,5,9.37,35.02
1,9.00,42.213,2,9.47,43.075,3,9.36,43.677,4,9.54,44.018,5,10.17,45.182
