Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Ademir BABAIC POSITION,Ademir BABAIC LAP TIME,Ademir BABAIC ELAPSED TIME,Emil KARNEEV POSITION,Emil KARNEEV LAP TIME,Emil KARNEEV ELAPSED TIME,Declan HISCOX POSITION,Declan HISCOX LAP TIME,Declan HISCOX ELAPSED TIME
2,7.45,7.45,1,7.25,7.25,3,7.65,7.65,4,7.77,7.77,5,7.88,7.88
2,9.38,16.83,1,9.45,16.70,4,9.71,17.36,3,9.52,17.29,5,9.79,17.67
2,8.94,25.77,1,8.86,25.56,4,9.24,26.60,3,8.52,25.81,5,9.07,26.74
3,9.43,35.20,1,9.45,35.01,4,9.77,36.37,2,9.21,35.02,5,9.76,36.50
3,9.19,44.385,2,9.22,44.225,4,9.64,46.005,1,9.06,44.075,5,9.55,46.041
