BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,6.84,6.84,2,7.01,7.01,3,7.16,7.16,4,7.38,7.38
1,9.14,15.98,2,9.09,16.10,3,9.15,16.31,4,9.05,16.43
1,8.68,24.66,2,8.66,24.76,3,8.59,24.90,4,8.71,25.14
1,8.94,33.60,2,8.86,33.62,3,8.83,33.73,4,8.72,33.86
2,9.16,42.758,1,9.04,42.656,3,9.14,42.869,4,9.07,42.929
