Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Vincent COURNOYER POSITION,Vincent COURNOYER LAP TIME,Vincent COURNOYER ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME
3,14.532,14.532,4,14.653,14.653,2,14.217,14.217,1,14.037,14.037
2,9.794,24.326,3,9.754,24.407,4,10.255,24.473,1,10.117,24.154
1,10.242,34.568,3,10.213,34.619,4,10.289,34.762,2,10.455,34.609
1,10.255,44.824,4,10.600,45.219,2,10.083,44.845,3,10.365,44.973
1,9.748,54.571,3,9.661,54.880,2,9.761,54.606,4,10.177,55.151
1,9.560,1:04.132,3,9.880,1:04.760,2,9.737,1:04.343,4,10.051,1:05.201
2,9.480,1:13.612,3,8.981,1:13.741,1,9.227,1:13.570,4,10.539,1:15.740
4,9.660,1:23.272,1,8.801,1:22.542,2,9.454,1:23.023,3,7.370,1:23.110
3,9.972,1:33.244,2,10.660,1:33.202,1,9.764,1:32.788,4,14.708,1:37.818
