Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
1,12.95,12.95,4,13.35,13.35,2,13.20,13.20,3,13.34,13.34
1,10.28,23.24,4,10.22,23.57,2,10.14,23.34,3,10.12,23.47
1,10.11,33.35,4,10.14,33.71,2,10.24,33.59,3,10.22,33.69
1,10.30,43.65,4,10.19,43.91,2,10.14,43.74,3,10.18,43.88
4,10.44,54.10,1,10.00,53.92,2,10.27,54.01,3,10.18,54.07
3,9.69,1:03.80,1,9.80,1:03.73,2,9.74,1:03.75,4,9.88,1:03.95
4,10.95,1:14.76,1,9.85,1:13.58,2,9.85,1:13.61,3,9.82,1:13.78
4,11.06,1:25.82,1,9.94,1:23.53,2,9.94,1:23.55,3,9.99,1:23.77
4,11.45,1:37.265,1,10.05,1:33.575,3,10.29,1:33.834,2,9.89,1:33.658
