Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME,AHN Hyun Jun POSITION,AHN Hyun Jun LAP TIME,AHN Hyun Jun ELAPSED TIME,Sean Qi Jun YEO POSITION,Sean Qi Jun YEO LAP TIME,Sean Qi Jun YEO ELAPSED TIME,Brandon KIM POSITION,Brandon KIM LAP TIME,Brandon KIM ELAPSED TIME,NEDYALKOV Ivaylo POSITION,NEDYALKOV Ivaylo LAP TIME,NEDYALKOV Ivaylo ELAPSED TIME
1,13.41,13.41,2,13.76,13.76,4,14.13,14.13,3,13.93,13.93,5,14.29,14.29
1,9.89,23.30,2,9.66,23.42,4,9.51,23.64,3,9.60,23.53,5,9.93,24.22
2,9.56,32.86,1,9.39,32.81,4,9.53,33.17,3,9.52,33.05,5,9.69,33.91
2,9.13,41.99,1,9.04,41.85,4,9.32,42.49,3,9.08,42.13,5,10.16,44.07
3,9.00,50.99,1,8.82,50.67,4,9.50,51.99,2,8.71,50.84,5,10.43,54.50
3,8.81,59.80,1,8.85,59.52,4,9.81,1:01.80,2,8.79,59.63,5,11.28,1:05.78
3,8.92,1:08.72,1,8.92,1:08.44,4,10.21,1:12.01,2,8.89,1:08.52,5,12.41,1:18.19
3,9.07,1:17.79,1,9.00,1:17.44,4,10.84,1:22.85,2,9.10,1:17.62,5,12.56,1:30.75
3,9.31,1:27.10,1,9.28,1:26.72,4,11.27,1:34.12,2,9.26,1:26.88,5,12.46,1:43.21
