TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
1,7.41,7.41,3,7.97,7.97,2,7.60,7.60
1,10.04,17.45,3,10.11,18.08,2,9.86,17.46
2,9.68,27.13,3,9.51,27.59,1,9.50,26.96
2,9.65,36.78,3,9.54,37.13,1,9.64,36.60
3,32.72,1:09.491,2,9.90,47.029,1,9.93,46.524
