LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,13.81,13.81,1,13.69,13.69,2,13.70,13.70,4,13.90,13.90
3,10.32,24.13,1,10.02,23.71,2,10.34,24.04,4,10.34,24.24
3,9.65,33.78,1,9.76,33.47,2,9.67,33.71,4,9.64,33.88
3,9.63,43.41,1,9.76,43.23,2,9.62,43.33,4,9.64,43.52
3,9.64,53.05,2,9.71,52.94,1,9.56,52.89,4,9.62,53.14
2,9.37,1:02.42,3,9.80,1:02.74,1,9.46,1:02.35,4,9.62,1:02.76
2,9.35,1:11.77,4,10.21,1:12.95,1,9.29,1:11.64,3,9.18,1:11.94
2,9.02,1:20.79,4,10.69,1:23.64,1,9.10,1:20.74,3,9.00,1:20.94
1,8.97,1:29.751,4,11.48,1:35.120,2,9.18,1:29.920,3,9.01,1:29.941
