Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,MA Xingguang POSITION,MA Xingguang LAP TIME,MA Xingguang ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME
3,9.17,,5,9.50,9.50,1,8.84,8.84,4,9.32,9.32,2,9.02,9.02,6,9.70,9.70,7,9.85,9.85
4,12.43,,6,12.40,21.90,3,12.57,21.41,5,12.40,21.72,2,12.35,21.37,7,12.38,22.08,1,11.44,21.29
4,10.75,,6,10.69,32.59,3,10.81,32.22,5,10.74,32.46,2,10.77,32.14,7,10.60,32.68,1,10.71,32.00
4,10.63,,6,10.67,43.26,1,10.43,42.65,5,10.64,43.10,3,10.71,42.85,7,10.69,43.37,2,10.74,42.74
3,10.38,,6,10.36,53.62,1,10.63,53.28,4,10.32,53.42,2,10.50,53.35,7,10.31,53.68,5,10.70,53.44
2,9.39,,7,9.68,1:03.30,3,9.63,1:02.91,1,9.14,1:02.56,5,9.67,1:03.02,4,9.31,1:02.99,6,9.72,1:03.16
2,9.48,,7,9.38,1:12.68,3,9.39,1:12.30,1,9.58,1:12.14,5,9.44,1:12.46,4,9.40,1:12.39,6,9.38,1:12.54
2,9.75,,7,9.80,1:22.48,3,9.78,1:22.08,1,9.74,1:21.88,5,9.80,1:22.26,3,9.69,1:22.08,6,9.85,1:22.39
2,9.56,,7,9.56,1:32.04,5,9.77,1:31.85,1,9.64,1:31.52,4,9.42,1:31.68,3,9.59,1:31.67,6,9.62,1:32.01
1,9.09,,6,9.26,1:41.30,5,9.31,1:41.16,2,9.24,1:40.76,4,9.39,1:41.07,3,9.27,1:40.94,7,9.48,1:41.49
1,9.17,,6,9.06,1:50.36,5,9.04,1:50.20,2,9.18,1:49.94,3,8.99,1:50.06,4,9.13,1:50.07,7,9.12,1:50.61
2,9.24,,5,9.08,1:59.44,4,9.07,1:59.27,1,8.93,1:58.87,3,9.10,1:59.16,5,9.37,1:59.44,7,9.15,1:59.76
3,9.15,,5,9.05,2:08.49,4,9.02,2:08.29,1,9.02,2:07.89,2,8.91,2:08.07,7,9.88,2:09.32,6,9.27,2:09.03
5,10.15,,3,9.13,2:17.599,4,9.52,2:17.788,1,9.12,2:17.01,2,9.02,2:17.076,6,10.60,2:19.893,5,9.79,2:18.804
